match_id,competition_code,competition_name,season,matchday,stage,status,date_utc,referee,home_team_id,home_team_x,away_team_id,away_team_x,fulltime_home,fulltime_away,halftime_home,halftime_away,goal_difference,total_goals,match_outcome,home_points,away_points,referee_id,home_team_y,home_team_goals,home_team_assists,home_team_minutes,home_team_passes_attempted,home_team_passes_completed,home_team_avg_top_speed,home_team_pass_acc,home_top11_goals,home_top11_assists,home_top11_avg_pass_acc,home_top11_avg_age,home_team_name,away_team_y,away_team_goals,away_team_assists,away_team_minutes,away_team_passes_attempted,away_team_passes_completed,away_team_avg_top_speed,away_team_pass_acc,away_top11_goals,away_top11_assists,away_top11_avg_pass_acc,away_top11_avg_age,away_team_name,home_team_goals_per90,home_team_assists_per90,home_team_passes_attempted_per90,home_team_passes_completed_per90,away_team_goals_per90,away_team_assists_per90,away_team_passes_attempted_per90,away_team_passes_completed_per90,home_last3_points,home_last3_gd,home_last5_points,home_last5_gd,away_last3_points,away_last3_gd,away_last5_points,away_last5_gd,home_elo_before,away_elo_before
524088,CL,UEFA Champions League,2024/2025,2,PLAYOFFS,FINISHED,2025-02-18 20:00:00+00:00,Felix Zwayer,102,Atalanta BC,851,Club Brugge KV,1,3,0,3,-2,4,Away Win,0,3,92,52816.0,5.0,4.0,3965.0,2091.0,1808.0,31.839473684210528,77.84263157894736,4.0,4.0,83.28818181818183,27.27272727272728,Atalanta BC,50043.0,3.0,2.0,3912.0,1921.0,1693.0,31.28684210526316,82.76894736842105,2.0,1.0,87.19,25.181818181818183,Club Brugge KV,0.11349306431273644,0.09079445145018915,47.46279949558638,41.0390920554855,0.06901840490797545,0.046012269938650305,44.19478527607362,38.94938650306748,4.0,4.0,6.0,4.0,4.0,-1.0,8.0,0.0,1588.6494983087573,1514.8865316988195
524090,CL,UEFA Champions League,2024/2025,2,PLAYOFFS,FINISHED,2025-02-19 17:45:00+00:00,Davide Massa,4,Borussia Dortmund,498,Sporting Clube de Portugal,0,0,0,0,0,0,Draw,1,1,66,52758.0,13.0,7.0,3965.0,2389.0,2144.0,31.347619047619045,78.22714285714285,8.0,6.0,88.28090909090909,27.09090909090909,Borussia Dortmund,50149.0,9.0,7.0,3966.0,1662.0,1416.0,31.90157894736842,79.17210526315789,6.0,5.0,83.64545454545454,23.454545454545453,Sporting Clube de Portugal,0.29508196721311475,0.158890290037831,54.22698612862547,48.66582597730139,0.2042360060514372,0.1588502269288956,37.715582450832066,32.13313161875945,3.0,0.0,9.0,3.0,1.0,-4.0,1.0,-9.0,1507.5539821473883,1487.261495515507
524105,CL,UEFA Champions League,2024/2025,2,LAST_16,FINISHED,2025-03-11 20:00:00+00:00,Slavko Vinčič,3,Bayer 04 Leverkusen,5,FC Bayern München,0,2,0,0,-2,2,Away Win,0,3,145,50109.0,5.0,6.0,3971.0,2263.0,2033.0,31.4925,81.851,5.0,4.0,86.01545454545455,26.363636363636363,Bayer 04 Leverkusen,50037.0,11.0,8.0,3964.0,2889.0,2647.0,30.5435,89.7675,9.0,7.0,90.12181818181818,27.63636363636364,FC Bayern München,0.11332158146562579,0.13598589775875095,51.289347771342236,46.07655502392345,0.24974772956609487,0.18163471241170534,65.5928355196771,60.098385469223004,3.0,-2.0,7.0,0.0,6.0,4.0,10.0,8.0,1604.5945698899723,1636.574123569002
524114,CL,UEFA Champions League,2024/2025,2,QUARTER_FINALS,FINISHED,2025-04-15 19:00:00+00:00,Maurizio Mariani,4,Borussia Dortmund,81,FC Barcelona,3,1,1,0,2,4,Home Win,3,0,58,52758.0,13.0,7.0,3965.0,2389.0,2144.0,31.347619047619045,78.22714285714285,8.0,6.0,88.28090909090909,27.09090909090909,Borussia Dortmund,50080.0,14.0,14.0,3890.0,2064.0,1815.0,30.629166666666663,82.37916666666666,13.0,12.0,86.11454545454545,24.545454545454547,FC Barcelona,0.29508196721311475,0.158890290037831,54.22698612862547,48.66582597730139,0.32390745501285345,0.32390745501285345,47.753213367609256,41.99228791773779,4.0,-1.0,7.0,-1.0,7.0,5.0,13.0,11.0,1534.7258084757468,1660.8869890068286
524115,CL,UEFA Champions League,2024/2025,2,QUARTER_FINALS,FINISHED,2025-04-16 19:00:00+00:00,Slavko Vinčič,108,FC Internazionale Milano,5,FC Bayern München,2,2,0,0,0,4,Draw,1,1,145,50138.0,6.0,3.0,3963.0,1866.0,1631.0,31.294,84.03,3.0,2.0,85.91818181818182,28.63636363636364,FC Internazionale Milano,50037.0,11.0,8.0,3964.0,2889.0,2647.0,30.5435,89.7675,9.0,7.0,90.12181818181818,27.63636363636364,FC Bayern München,0.13626040878122636,0.06813020439061318,42.376987130961396,37.04012112036336,0.24974772956609487,0.18163471241170534,65.5928355196771,60.098385469223004,7.0,3.0,13.0,6.0,4.0,1.0,8.0,2.0,1673.8533930986298,1639.743465295791
524119,CL,UEFA Champions League,2024/2025,2,SEMI_FINALS,FINISHED,2025-05-06 19:00:00+00:00,Szymon Marciniak,108,FC Internazionale Milano,81,FC Barcelona,4,3,2,0,1,7,Home Win,3,0,153,50138.0,6.0,3.0,3963.0,1866.0,1631.0,31.294,84.03,3.0,2.0,85.91818181818182,28.63636363636364,FC Internazionale Milano,50080.0,14.0,14.0,3890.0,2064.0,1815.0,30.629166666666663,82.37916666666666,13.0,12.0,86.11454545454545,24.545454545454547,FC Barcelona,0.13626040878122636,0.06813020439061318,42.376987130961396,37.04012112036336,0.32390745501285345,0.32390745501285345,47.753213367609256,41.99228791773779,4.0,0.0,5.0,-1.0,7.0,2.0,10.0,1.0,1650.6996193385723,1659.1397038000428
523969,CL,UEFA Champions League,2024/2025,3,LEAGUE_STAGE,FINISHED,2024-10-22 16:45:00+00:00,Felix Zwayer,98,AC Milan,851,Club Brugge KV,3,1,1,0,2,4,Home Win,3,0,92,50058.0,7.0,6.0,3961.0,2107.0,1914.0,32.1515,81.99199999999999,6.0,4.0,88.13636363636364,26.727272727272727,AC Milan,50043.0,3.0,2.0,3912.0,1921.0,1693.0,31.28684210526316,82.76894736842105,2.0,1.0,87.19,25.181818181818183,Club Brugge KV,0.1590507447614239,0.13632920979550617,47.87427417318859,43.48901792476647,0.06901840490797545,0.046012269938650305,44.19478527607362,38.94938650306748,3.0,-1.0,9.0,3.0,3.0,-2.0,3.0,-2.0,1502.2512391351247,1500.5888534965595
524055,CL,UEFA Champions League,2024/2025,3,LEAGUE_STAGE,FINISHED,2024-10-22 19:00:00+00:00,Horațiu Fesnic,298,Girona FC,7509,ŠK Slovan Bratislava,2,0,1,0,2,2,Home Win,3,0,154,2602798.0,4.0,2.0,3935.0,1863.0,1629.0,30.50608695652173,82.3704347826087,3.0,2.0,82.68363636363637,27.454545454545453,Girona FC,52797.0,2.0,2.0,3960.0,1450.0,1194.0,30.965454545454545,76.10681818181818,2.0,1.0,80.56090909090909,29.09090909090909,ŠK Slovan Bratislava,0.0914866581956798,0.0457433290978399,42.60991105463786,37.2579415501906,0.045454545454545456,0.045454545454545456,32.95454545454545,27.136363636363637,3.0,-1.0,5.0,-1.0,0.0,-8.0,0.0,-8.0,1471.8014126840235,1481.1387074987217
524070,CL,UEFA Champions League,2024/2025,3,LEAGUE_STAGE,FINISHED,2024-10-22 19:00:00+00:00,Giorgi Kruashvili,2021,SK Sturm Graz,498,Sporting Clube de Portugal,0,2,0,1,-2,2,Away Win,0,3,155,50111.0,0.0,1.0,3958.0,1399.0,1135.0,30.551,78.4835,0.0,1.0,77.9090909090909,22.545454545454547,SK Sturm Graz,50149.0,9.0,7.0,3966.0,1662.0,1416.0,31.90157894736842,79.17210526315789,6.0,5.0,83.64545454545454,23.454545454545453,Sporting Clube de Portugal,0.0,0.022738756947953513,31.811520970186965,25.80848913592724,0.2042360060514372,0.1588502269288956,37.715582450832066,32.13313161875945,0.0,-2.0,0.0,-2.0,4.0,2.0,4.0,2.0,1479.3871388496157,1509.586715634316
523974,CL,UEFA Champions League,2024/2025,3,LEAGUE_STAGE,FINISHED,2024-10-23 16:45:00+00:00,Irfan Peljto,102,Atalanta BC,732,Celtic FC,0,0,0,0,0,0,Draw,1,1,138,52816.0,5.0,4.0,3965.0,2091.0,1808.0,31.839473684210528,77.84263157894736,4.0,4.0,83.28818181818183,27.27272727272728,Atalanta BC,50050.0,9.0,7.0,3966.0,2017.0,1770.0,31.8135,80.4465,8.0,6.0,83.12181818181818,27.363636363636363,Celtic FC,0.11349306431273644,0.09079445145018915,47.46279949558638,41.0390920554855,0.2042360060514372,0.1588502269288956,45.771558245083206,40.16641452344932,9.0,9.0,10.0,8.0,3.0,-2.0,3.0,-2.0,1524.1801088224606,1500.5287519303147
